epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.951,1.14624,2.89639,1.77164,0.9445,0.77049,0.89636,0.43936,1.41976,3.17031,1.98825,0.000547949,0.000547949,0.000547949
2,343.44,1.19536,1.96093,1.74,0.823,0.7377,0.86605,0.53282,1.32079,2.24151,1.82812,0.000994358,0.000994358,0.000994358
3,511.514,1.25549,1.62263,1.77783,0.84525,0.85246,0.90968,0.56011,1.38378,1.66129,1.91775,0.00133074,0.00133074,0.00133074
4,679.619,1.18743,1.3515,1.73057,0.91609,0.89491,0.93596,0.60709,1.24814,1.41622,1.70269,0.0011719,0.0011719,0.0011719
5,847.471,1.14667,1.10453,1.70985,0.84989,0.85246,0.92508,0.65159,1.08932,1.25491,1.48915,0.00100687,0.00100687,0.00100687
6,1013.34,1.09151,0.93664,1.60187,0.96308,0.85541,0.93922,0.59545,1.37938,1.09171,1.73804,0.000841835,0.000841835,0.000841835
7,1179.75,1.07207,0.84582,1.6013,0.93269,0.98361,0.97994,0.68508,1.10229,0.72514,1.44882,0.000676802,0.000676802,0.000676802
8,1346.51,0.96468,0.70495,1.49789,0.98299,0.94746,0.97447,0.70674,1.01428,0.72145,1.42575,0.000511769,0.000511769,0.000511769
9,1512.5,0.90368,0.65996,1.45179,0.98355,0.98005,0.99391,0.74329,0.95096,0.60867,1.34826,0.000346736,0.000346736,0.000346736
10,1678.2,0.86841,0.60591,1.40708,0.99944,1,0.995,0.76383,0.88709,0.5556,1.28629,0.000181703,0.000181703,0.000181703
