epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,680.129,0.991,1.02572,1.11848,0.81133,0.71074,0.77432,0.53704,0.98777,1.06856,1.12274,0.000664073,0.000664073,0.000664073
2,1339.28,1.07724,1.11794,1.17299,0.81886,0.69358,0.75837,0.52157,1.0815,1.18654,1.16235,0.00128682,0.00128682,0.00128682
3,1998.89,1.14897,1.19533,1.21389,0.77882,0.66259,0.71362,0.46737,1.18501,1.16302,1.23015,0.00186558,0.00186558,0.00186558
4,2649.32,1.17429,1.20093,1.22425,0.7777,0.72092,0.74834,0.50056,1.09249,1.15045,1.19195,0.001802,0.001802,0.001802
5,3317.96,1.15504,1.14459,1.21873,0.84426,0.70647,0.80255,0.5532,1.0203,1.01672,1.13868,0.001736,0.001736,0.001736
6,3995.86,1.1119,1.10208,1.18917,0.83756,0.70693,0.77316,0.55053,1.00864,0.95741,1.14437,0.00167,0.00167,0.00167
7,4647.16,1.09976,1.07387,1.19073,0.81799,0.74952,0.80695,0.56646,1.00099,0.88228,1.10891,0.001604,0.001604,0.001604
8,5292.53,1.07121,1.02935,1.17624,0.83878,0.73098,0.80476,0.57262,0.9705,0.86473,1.11132,0.001538,0.001538,0.001538
9,5938.04,1.04164,1.01742,1.15752,0.87004,0.74571,0.81968,0.58736,0.96192,0.84168,1.10463,0.001472,0.001472,0.001472
10,6586.29,1.03128,0.97933,1.1524,0.84672,0.73427,0.8076,0.58492,0.93278,0.85675,1.0915,0.001406,0.001406,0.001406
11,7233.42,1.02257,0.9682,1.15365,0.87574,0.74317,0.83038,0.61243,0.90625,0.7832,1.07247,0.00134,0.00134,0.00134
12,7882.54,1.01119,0.95572,1.14063,0.83384,0.77495,0.82694,0.61839,0.87163,0.77687,1.06094,0.001274,0.001274,0.001274
13,8530.23,0.9925,0.91365,1.13847,0.864,0.77622,0.8444,0.62936,0.87945,0.73119,1.065,0.001208,0.001208,0.001208
14,9175.61,0.96442,0.88914,1.11739,0.88311,0.75906,0.83647,0.6238,0.8759,0.72361,1.05123,0.001142,0.001142,0.001142
15,9820.18,0.95973,0.87244,1.11873,0.87866,0.76421,0.83461,0.62343,0.8772,0.73635,1.0677,0.001076,0.001076,0.001076
16,10464.9,0.94946,0.874,1.10982,0.86744,0.77877,0.8444,0.64152,0.83874,0.68944,1.04299,0.00101,0.00101,0.00101
17,11111,0.94563,0.86741,1.10246,0.89995,0.76057,0.85371,0.64722,0.83762,0.67403,1.03549,0.000944,0.000944,0.000944
18,11757.6,0.92801,0.84873,1.10058,0.8631,0.78195,0.84395,0.64209,0.83514,0.71723,1.04101,0.000878,0.000878,0.000878
19,12402.2,0.91995,0.81755,1.09439,0.87876,0.79657,0.8622,0.65991,0.81647,0.65456,1.03065,0.000812,0.000812,0.000812
20,13049.7,0.9008,0.79984,1.07652,0.86822,0.79975,0.85845,0.65088,0.83954,0.64775,1.03314,0.000746,0.000746,0.000746
21,13696.1,0.83458,0.71537,1.04246,0.87587,0.78576,0.85542,0.64481,0.82974,0.67773,1.03248,0.00068,0.00068,0.00068
22,14336,0.81597,0.68074,1.02884,0.87956,0.79392,0.86637,0.66541,0.81837,0.63568,1.03389,0.000614,0.000614,0.000614
23,14977.7,0.80426,0.65922,1.03203,0.88014,0.79824,0.86585,0.66554,0.81052,0.61535,1.02843,0.000548,0.000548,0.000548
24,15621.8,0.78637,0.63781,1.02409,0.88447,0.78359,0.86598,0.66614,0.80603,0.62151,1.02368,0.000482,0.000482,0.000482
25,16264.3,0.77455,0.62698,1.01522,0.88131,0.79303,0.87298,0.67642,0.80688,0.61079,1.02176,0.000416,0.000416,0.000416
26,16906.1,0.76716,0.61254,1.01055,0.9036,0.79258,0.87557,0.67863,0.79367,0.59196,1.01326,0.00035,0.00035,0.00035
27,17549.5,0.74844,0.59149,0.99663,0.8978,0.79148,0.87336,0.67944,0.78454,0.58987,1.01116,0.000284,0.000284,0.000284
28,18194,0.73893,0.57768,0.99326,0.89557,0.79657,0.87868,0.68259,0.78398,0.58068,1.01217,0.000218,0.000218,0.000218
29,18834.9,0.73281,0.5568,0.98691,0.88853,0.80547,0.87911,0.68632,0.77709,0.57005,1.00891,0.000152,0.000152,0.000152
30,19477.8,0.71715,0.5457,0.98086,0.88623,0.80737,0.88053,0.69097,0.7667,0.56204,1.00391,8.6e-05,8.6e-05,8.6e-05
